String Identifier	String Description (Comments)	English_US	English_UK	Portuguese	Spanish	Catalan	French	Italian	Dutch	German	Czech	Polish	Russian	Ukrainian	Croatian	Greek	Turkish	Hebrew	Arabic	Persian	Simplified Chinese	Korean	Japanese
CardText_3273		This technology allows us to identify and isolate the positive cases early...	This technology allows us to identify and isolate the positive cases early...	Essa tecnologia nos permite identificar e isolar os casos positivos antecipadamente	Esta tecnología nos permite identificar y aislar los casos positivos muy pronto....	Aquesta tecnologia ens permet identificar i aïllar els casos positius molt aviat...	Cette technologie nous permet d'identifier et d'isoler les cas positifs très tôt...	Questa tecnologia ci permette di identificare e isolare i casi positivi in anticipo...	Met deze technologie kunnen we de positieve gevallen vroegtijdig identificeren en isoleren ...	Diese Technologie ermöglicht es uns, die positiven Fälle frühzeitig zu identifizieren und zu isolieren … 	Tato technologie nám umožňuje rychle identifikovat a izolovat pozitivní pacienty	Technologia ta pozwala nam na wczesne wskazanie i odizolowanie pozytywnych przypadków	Эта технология позволит нам выявить и изолировать положительные случаи на ранней стадии...	Ця технологія дозволяє виявляти та ізолювати хворих на ранній стадії...	Ova nam tehnologija omogućava rano otkrivanje i izoliranje pozitivnih slučajeva...	Αυτή η τεχνολογία μας επιτρέπει να αναγνωρίζουμε και να απομονώνουμε τα θετικά περιστατικά νωρίς...	Bu teknoloji pozitif vakaları erkenden tespit etmemizi ve izole etmemizi sağlıyor...	טכנולוגיה זו מאפשרת לנו לזהות ולבודד את המקרים החיוביים בשלב מוקדם יותר ...	تتيح لنا هذه التكنولوجيا التعرف على الحالات الإيجابية وعزلها مبكرًا ...	این فناوری ما را قادرمی سازد تا موارد مثبت را دراوایل شناسایی و منزوی کنیم ...	这项技术使我们能够尽早确诊并隔离病患	환자를 신속히 찾아내 격리할 수 있는 최첨단 기술이 개발되었습니다.	ある技術を使えば陽性を早く検出して隔離できるそうですが…
Card_OptA_3273	41	...and it's non-invasive for the patients	...and it's non-invasive for the patients	...e ainda consegue não ser invasiva aos pacientes	... y además lo consigue sin ser invasiva para los pacientes	...i a mñes ho aconsegueix sense ser invasiva pels pacients	...en plus de ne pas être invasif pour les patients	... e riesce persino a essere non invasiva per i pazienti	... en het slaagt er zelfs in om niet-invasief voor de patiënten te zijn	… und sie schafft es sogar, für die Patienten nicht in die Privatsphäre einzudringen	...a to vše bez toho, aniž by působila nějak invazivně	i nawet nie jest inwazyjna dla pacjentów.	...и она даже неинвазивна для пациентов	... крім того, вона неінвазивна для пацієнтів	... a nije ni invazivna za pacijente	...και είναι και μη επεμβατική προς τους ασθενείς.	...hatta bunları hastalara müdahale bile etmeden yapıyor	... וזה אפילו מצליח להיות לא פולשני עבור המטופלים	... ويمكنها أيضًا أن تكون غير جراحية للمرضى	... و حتی می تواند برای بیماران غیرتهاجمی باشد	...这甚至可以做到对患者无创	더구나 칼을 댈 필요도 없는 간단한 검사입니다.	…患者にとってプライバシー侵害にならない
Card_OptB_3273	36	It's a pity that we cannot afford it	It's a pity that we cannot afford it	É uma pena que não podemos adquirir	Lástima que no podamos permitirnosla	Llàstima que no ens la poguem permetre	Dommage que l'on n'ait pas les moyens de l'acheter	Un vero peccato non potersela permettere	Jammer dat we het niet kunnen betalen	Es ist schade, dass wir es uns nicht leisten können	Škoda, že si ji nemůžeme dovolit	Szkoda, że nas na nią nie stać.	Жаль, что мы не можем себе этого позволить.	Шкода, що ми не можемо собі її дозволити	Šteta što si je ne možemo priuštiti	Κρίμα που δεν έχουμε τα χρήματα.	Mali gücümüzün buna yetmemesi üzücü	חבל מאוד שאנחנו לא יכולים להרשות את זה	من المؤسف أننا لا نستطيع تحمل تكاليفها	افسوس که ما توانائی بدست آوردن آن را نداریم	可惜我们负担不起	그 기술을 도입할 돈이 없다는 게 안타까울 따름이죠.	買う予算がなくて本当に残念だね
CardTitle_3401		All about the vaccine	All about the vaccine	Tudo ao redor da vacina	Todo sobre la vacuna	Tot sobre la vacuna	Tout sur le vaccin	Il vaccino prima di tutto	Alles over het vaccin	Alles zum Impfstoff	Vše o vakcíně	Wszystko o szczepionce	Все о вакцине	Все про вакцину	Sve o cjepivu	Τα πάντα για το εμβόλιο.	Aşı hakkında her şey	הכל על החיסון	كل ما يتعلق بـاللقاح	همه چیز در مورد واکسن	关于疫苗的一切	백신에 관한 소식	全てはワクチンのため
CardText_3401		Citizens want to be informed about every news regarding the vaccine	Citizens want to be informed about every news regarding the vaccine	Cidadãos querem notícias à respeito da vacina	La población quiere estar informada sobre todas las novedades respecto a la vacuna	La població vol estar informada sobre totes les novetats respecte la vacuna	Les citoyens veulent être informés des nouvelles du vaccin	I cittadini vogliono essere informati sulle novità che riguardano il vaccino	Burgers willen op de hoogte blijven van al het nieuws over het vaccin	Die Bürger wollen über alle Neuigkeiten zum Impfstoff informiert werden	Lidé chtějí být srozuměni s novinkami v oblasti vakcíny	Obywatele chcą być informowani na temat szczepionki.	Граждане хотят быть в курсе всех новостей о вакцине.	Населення хоче отримувати інформацію про всі новини стосовно вакцини	Građani žele znati sve vijesti o cjepivu	Οι πολίτες θέλουν να είναι ενημερωμένοι σχετικά με ότι έχει να κάνει με το εμβόλιο.	Vatandaşlar aşı ile ilgili her şeyden haberdar olmak istiyor	האזרחים רוצים להתעדכן בכל החדשות הנוגעות לחיסון	يريد المواطنون أن يطلعوا على كل الأخبار المتعلقة باللقاح	شهروندان می خواهند از تمام اخبارمربوط به واکسن مطلع شوند	岛民们希望了解有关疫苗的所有新闻	백신 개발에 관한 소식이라면 무엇이든 듣고 싶은 시민이 많습니다.	住民がワクチンに関するニュースを求めているぜ
Card_OptA_3401	50	Hire an agency to take charge of the communication	Hire an agency to take charge of the communication	Contratem um agente para assumir a frente da comunicação	Contratemos una agencia para que se encargue de la comunicación	Contractem una agència per tal que s'encarregui de la comunicació	Engageons une agence pour qu'elle s'occupe de la communication	Assumiamo un'agenzia che si occupi della comunicazione	Een bureau huren om de communicatie te regelen	Beauftrage eine Agentur mit der Durchführung der Kommunikation	Najmeme agenturu, která se bude starat o vnější komunikaci	Wynajmijmy agencję, która zajmie się komunikatami.	Нанять агентство, которое возьмет на себя ответственность за информацию.	Наймемо агенство, яке займеться питаннями зв'язків з громадськістю	Unajmimo agenciju da se brine o komunikaciji	Ας προσλάβουμε ένα γραφείο για να αναλάβει την επικοινωνία.	İletişimi üstlenmek üzere bir ajans kiralayalım	שכור חברה פרטית שתשתלט על התקשורת	التعاقد مع وكالة لتولي مسؤولية الاتصالات	برای مسئولیت ارتباطات، یک نماینده استخدام کنید	雇佣一个公关机构负责传播	대행사와 계약해서 시민과의 소통을 책임지게 합시다.	広報担当を雇おう
Card_OptB_3401	77	Is anybody better than our scientists to frequently inform about the vaccine?	Is anybody better than our scientists to frequently inform about the vaccine?	Tem alguém melhor que nossos cientistas para informar frequentemente sobre a vacina?	¿Quién mejor que nuestros científicos para comunicar con frecuencia sobre la vacuna?	Qui millor que els nostres científics per comunicar amb freqüència sobre la vacuna?	Qui de mieux que nos scientifiques pour communiquer sur le vaccin?	Chi meglio dei nostri scienziati, per informare la gente con costanza e puntualità sul vaccino?	Is het beter dat onze wetenschappers regelmatig over het vaccin informeren?	Gibt es jemanden, der besser ist als unsere Wissenschaftler, der häufig über den Impfstoff informiert?	Copak je někdo lepší pro komunikování fakt ohledně vakcíny než naši vědci?	Kto lepiej niż nasi naukowcy poinformuje o szczepionce?	Кто лучше, чем наши ученые, чтобы информировать о вакцине?	Хто, краще наших вчених, зможе регулярно інформувати про вакцину?	Zar postoji netko tko može bolje i češće od naših znanstvenika informirati javnost o cjepivu?	Μήπως υπάρχει κάποιος καλύτερος από τους επιστήμονές μας για να ενημερώνει ταχτικά για το εμβόλιο ;	Bilim insanlarımızın aşı ile ilgili sık sık bilgilendirme yapmasından daha iyisi var mı?	האם יש מישהו טוב יותר מהמדענים שלנו שיעדכן על החיסון מדי יום?	هل يوجد أحد أفضل من علمائنا للإعلام عن اللقاح بشكل متواصل؟	آیا کسی بهترازدانشمندان ما است که به طورمکرر درباره واکسن اطلاع رسانی کند؟	有人比我们的科学家更合适来发布疫苗的常规新闻吗？	수시로 백신 소식을 전하는 데는 우리 과학자가 가장 적임이지 않을까요?	定期的にワクチンのニュースを発表するのは研究者のほうがいいんじゃない？
CardTitle_3402		Direct line	Direct line	Linha direta	Línea directa	Línia directa	Ligne directe	Linea diretta	Rechtstreekse verbinding	Direktverbindung	Horká linka	Bezpośrednia linia telefoniczna	Прямая линия	Пряма лінія	Izravna veza	Απευθείας γραμμή	Direkt hat	שירותי מידע טלפונית	خط مباشر	خط مستقیم	热线	직통 전화	直通電話
CardText_3402		Citizens are asking more and more questions, let's create a call center to answer them	Citizens are asking more and more questions, let's create a call centre to answer them	Cidadãos estão perguntando mais e mais, vamos criar uma Central de Atendimento para respondermos eles	Los ciudadanos tienen cada vez más preguntas, montemos un call center para contestarles al teléfono	Els ciutadans tenen cada vegada més preguntes, organitzem un centre de trucades per contestar-los al telèfon	Les citoyens ont de plus en plus de questions, mettons en place un centre d'appel pour leur répondre au téléphone	I cittadini stanno facendo sempre più domande: attiviamo un call center per dare loro risposte	Burgers stellen steeds meer vragen, laten we een callcenter opzetten om de burgers te beantwoorden	Die Bürger stellen immer mehr Fragen, wir sollten eine Telefonzentrale einrichten, um diese Fragen zu beantworten	Občané mají čím dál více otázek, dejme dohromady call centrum, které jim odpoví	Obywatele zadają coraz więcej pytań, stwórzmy informację telefoniczną.	Граждане задают все больше и больше вопросов, давайте создадим колл-центр, чтобы отвечать им по телефону.	У громадян виникає все більше запитань, давайте створимо call-центр, щоб відповідати на них по телефону	Građani postavljaju sve više i više pitanja, otvorimo call centar koji će im odgovarati	Οι πολίτες κάνουν όλο και περισσότερες ερωτήσεις, ας δημιουργήσουμε ένα κέντρο κλήσεων για να τους απαντά.	Vatandaşlar giderek daha fazla soru soruyor, onların sorularını cevaplamak için bir çağrı merkezi oluşturalım	האזרחים שואלים יותר ויותר שאלות, בואו נפתח מוקד טלפוני לענות עליהן	يسأل المواطنون المزيد والمزيد من الأسئلة ، فلنقم بإنشاء مركز اتصال للإجابة عليهم	شهروندان بیشتروبیشترسؤال می کنند، بیایید یک مرکز تماس برای پاسخ به آنها ایجاد کنیم	岛民们在询问越来越多的问题，让我们设立一个呼叫中心来回答他们	시민에게서 문의가 빗발치고 있습니다. 콜센터를 세워서 질문에 답하게 합시다.	住民からものすごく質問がきているから、それに答えるコールセンターを作ろう
Card_OptA_3402	88	It's better to hire a specialized company, because the phone operators are professionals	It's better to hire a specialised company, because the phone operators are professionals	É melhor contratar uma empresa especializada, assim os operadores da linha serão profissionais	Mejor contratar a una empresa especializada para que los operadores sean profesionales	Millor contractar una empresa especialitzada per així tenir operadors professionals	Il vaut mieux engager une entreprise spécialisée pour que les opérateurs soient des professionnels	Meglio assumere un'azienda specializzata, dove lavorano operatori telefonici professionisti	Het is beter om een ​​gespecialiseerd bedrijf in te huren, waar de telefonisten zijn professionals	Es ist besser, eine spezialisierte Firma zu engagieren, damit die Telefonisten Fachleute sind	Lepší bude najmout specializovanou firmu, tam budou profesionální operátoři	Lepiej zatrudnić specjalizującą się w tym firmę, aby operatorzy telefoniczni byli profesjonalistami.	Лучше нанять специализированную компанию, чтобы телефонные операторы были профессионалами.	Краще найняти послуги спеціалізованої компанії, щоб оператори були професіоналами	Bolje je da unajmimo specijaliziranu tvrtku tako da agenti budu profesionalci	Καλύτερα να προσλάβουμε μια ειδικευμένη εταιρία, ώστε οι χειριστές των τηλεφώνων να είναι επαγγελματίες.	Bu konuda uzman bir şirketle anlaşalım, mesela telefon operatörleri bunun için yeterince profesyonel	עדיף להעסיק חברה מתמחה	من الأفضل توظيف شركة متخصصة ، مع مشغلي هواتف محترفين	بهتراست یک شرکت تخصصی را استخدام کنید، چون خدمه های تلفن آنها حرفه یی هستند	最好是雇佣一个专业的公司，这样电话接线员都是职业训练的	상담을 전문으로 하는 회사와 계약하는 게 좋겠습니다. 숙련된 상담원을 쓸 수 있을 테니까요.	こういう仕事はプロに任せたほうがいいから、コールセンターの会社に依頼しよう
Card_OptB_3402	116	Let's use healthcare workers, that way we will be able to identify people with symptoms and isolate them immediately	Let's use healthcare workers, that way we will be able to identify people with symptoms and isolate them immediately	Vamos chamar os profissionais da saúde, dessa maneira, poderemos identificar pessoas com sintomas e as isolar imediatamente	Usemos personal sanitario; así podremos también identificar personas con síntomas y aislarlas inmediatamente	Utilitzem personal sanitari; així podrem també identificar persones amb símptomes i aïllar-les immediatament	Utilisons du personnel de santé; ainsi nous pourrons identifier les personnes  symptômatiques et les isoler rapidement	Utilizziamo personale sanitario: così facendo potremo identificare le persone con i sintomi e isolarle immediatamente	Laten we zorgpersoneel gebruiken,  om mensen met symptomen te identificeren en deze direct te isoleren	Lass uns Gesundheitspersonal einsetzen, dann werden wir auch in der Lage sein, Menschen mit Symptomen zu identifizieren und sie sofort zu isolieren	Použijme zdravotnický personál; takto můžeme také okamžitě identifikovat lidi s příznaky a izolovat je	Niech robi to personel medyczny, tym samym będziemy identyfikować ludzi z objawami i od razu ich odizolować.	Давай используем медперсонал, таким образом мы также сможем идентифицировать людей с симптомами и изолировать их как можно скорее.	Використаймо медичний персонал: таким чином ми також зможемо ідентифікувати людей із симптомами та негайно їх ізолювати	Zatražimo od zdravstvenih radnika da to rade, na taj ćemo način moći identificirati pojedince sa simptomima i odmah ih izolirati	Ας χρησιμοποιήσουμε ιατρικό προσωπικό, έτσι θα μπορούμε και να αναγνωρίζουμε άτομα με συμπτώματα και να τα απομονώνουμε.	Sağlık personellerini kullanalım, bu şekilde semptomları olan insanları tespit edip, izole edebiliriz	בואו להעסיק אנשי בריאות לענות על הטלפונים, ככה נוכל גם לזהות אנשים עם תסמינים ולבודד אותם באופן מיידי	لنستخدم عاملين في مجال الرعاية الصحية ، بهذه الطريقة سنتمكن أيضًا من تحديد الأشخاص الذين يعانون من الأعراض وعزلهم على الفور	بیایید ازپرسنل مراقبت های بهداشتی استفاده کنیم، به این ترتیب قادرخواهیم بود افراد دارای علائم را شناسایی کرده و فورأ آنها را جدا کنیم	让我们派遣医务人员，这样我们可以识别出有症状的患者并立即进行隔离	의료 인력에게 상담을 맡깁시다. 증상이 있는 사람이 환자인지 판별하고, 맞다면 즉시 격리하도록요.	医療スタッフを雇えば症状のある人を特定してすぐに隔離に移せるね
CardTitle_3403		Active listening	Active listening	Ouvinte ativo	Escucha activa	Escolta activa	Ecoute active	Ascolto attivo	Actief luisteren	Aktives Zuhören	Aktivní naslouchání	Aktywne słuchanie	Активно слушать местное население	Активне слухання	Aktivno slušanje	Ενεργή ακρόαση	Aktif dinleme	שמיעה אקטיבית	الاستماع الفعال	گوش دادن فعال	积极倾听	적극적 청취	アクティブ・リスニング
CardText_3403		With all the healthcare workers focused on the emergency, there is nobody to see those who only need to be listened to	With all the healthcare workers focused on the emergency, there is nobody to see those who only need to be listened to	Com todos os profissionais da saúde focados em emergência, não há ninguém para dar atenção à ser ouvido	Con todo el personal sanitario volcado en la emergencia no queda nadie para recibir a quien solo necesite ser escuchado	Amb tot el personal sanitari volcat en l'emergència sanitària no queda ningú per rebre a qui tan sols necessiti ser escoltat	Avec tout le personnel de santé dédié à l'urgence, il n'y a plus personne pour recevoir les gens qui veulent seulement être écoutés	Con tutto il personale sanitario concentrato sull'emergenza, non c'è nessuno che possa dedicarsi a chi ha solo bisogno di essere ascoltato	Met al het zorgpersoneel gericht op de noodsituatie, is er niemand om simpele gevallen te zien	Da sich das gesamte Gesundheitspersonal auf den Notfall konzentriert, kann niemand die Menschen sehen, denen man nur zuhören müsste	Když se veškerý zdravotnický personál soustředí v nemocnicích, není tu nikdo, kdo by jen naslouchal těm, kteří to potřebují	Cały personel medyczny zajmuje się nagłą sytuacją, nie ma komu przyjąć tych, których trzeba tylko wysłuchać.	Учитывая, что весь медперсонал сосредоточен на оказании экстренной помощи, нет никого, кто мог бы послушать народ.	Оскільки весь медичний персонал зосереджений на надзвичайній ситуації, не залишається нікого для тих, кого просто треба послухати	Zdravstveno osoblje je u potpunosti usredotočeno na zarazu i nitko se ne bavi onima koji samo žele da ih netko sasluša	Με όλο το ιατρικό προσωπικό συγκεντρωμένο στην κρίση δεν υπάρχει κανένας να ακούσει όσους απλά θέλουν να τους ακούσουν.	Tüm sağlık personellerimiz acil duruma odaklanmış olduğundan, danışmak isteyenlerin sesini duyacak kimse yok	עם כל אנשי הבריאות ממוקדים במצבי חירום לא יהיה לנו אף אחד שהטפל במי שרק צריך להקשיב לו	مع تركيز جميع العاملين في مجال الرعاية الصحية على حالة الطوارئ ، لا يوجد أحد للإهتمام بأولئك الذين يحتاجون فقط أن تسمع أصواتهم	با توجه به اینکه تمام کارکنان مراقبت های بهداشتی روی وضعیت اضطرار متمرکزهستند، هیچ کس برای مراقبت از کسانی که فقط باید صدای آنها را بشنوند نیست	由于所有的医护人员都投入在危机上，没有人关注那些需要被倾听的人	의료 인력이 모두 전염병 사태에 전념하면서, 시민의 자질구레한 건강 상담을 들어줄 사람이 없어졌습니다.	今全ての医療従事者が緊急事態に対応しているから、話を聞いてほしい人を誰も世話できていないんだ
Card_OptA_3403	100	Let's devote a healthcare team to see and listen to whoever might need it, people will appreciate it	Let's devote a healthcare team to see and listen to whoever might need it, people will appreciate it	Vamos dedicar uma equipe de profissionais da saúde para ouvir quem quer que precise, as pessoas vão gostar disso	Dediquemos un equipo sanitario a recibir y escuchar a quien lo necesite, el pueblo lo agradecerá	Dediquem un equip sanitari a rebre i escoltar a qui ho necesiti, el poble ho agraïrà	Consacrons une équipe de santé qui recevra et écoutera les gens qui en ont besoin, les gens les en remercieront	Destiniamo un team sanitario all'ascolto di chi ne ha bisogno. La gente lo apprezzerà	Laten we een zorgteam wijden om te zien en te luisteren naar iedereen die het nodig heeft, mensen zullen het waarderen	Lass uns ein Gesundheitsteam einsetzen, das jedem Bedürftigen zuhört, denn die Menschen werden es zu schätzen wissen	Věnujme jeden zdravotnický tým těm, co potřebují s někým pobýt a promluvit si, občané to ocení	Stwórzmy zespół składający się z pracowników służby zdrowia, tylko do słuchania; ludzie to docenią.	Давай выберем команду врачей, чтобы они принимали и слушали всех тех, кто может в этом нуждаться. Народу это понравится!	Давайте призначимо команду медиків, щоб вони приймали та слухали тих, хто цього потребує; людям це сподобається	Organizirajmo zdravstveni tim koji će primati  i slušati one kojima je to potrebno, javnost će to cijeniti	Ας εστιάσουμε μια ιατρική ομάδα στο να βλέπει και να ακούει όσους το χρειάζονται, ο κόσμος θα το εκτιμήσει.	Danışma ihtiyacı olanları görmek ve dinlemek için sağlık ekiplerinden birini görevlendirelim, halk bunu takdir edecektir	בואו נקדיש צוות בריאות שיקשיב לאלה שצריכים להקשיב להם, אנשים יעריכו את זה	لنكرس فريق رعاية صحية للإستماع إلى من يحتاج ، سيقدر الناس ذلك	بیایید یک تیم مراقبت های بهداشتی اختصاص دهیم تا کسی که ممکن است به آن احتیاج داشته باشد را ببیند و گوش دهد، مردم از آن قدردانی می کنند	让我们专门投入一支医疗团队来倾听，人们会很感激的	의료팀을 하나 빼서 건강 상담을 들어주게 합시다. 사람들이 좋아할 거예요.	助けを必要とする人たちの話を聞いてあげられる医療チームを作ろう。きっと喜ばれるはずだ
Card_OptB_3403	55	Our healthcare workers have more important things to do	Our healthcare workers have more important things to do	Nossos profissionais da saúde têm coisas mais importantes para fazer	Nuestros sanitarios tienen tareas más importantes que hacer	Els nostres sanitaris tenen feines més importants que fer	Nos services de santé ont des tâches plus importantes à faire	Il nostro personale sanitario ha cose più importanti da fare	Onze gezondheidswerkers hebben belangrijkere dingen te doen	Unsere Mitarbeiter im Gesundheitswesen haben wichtigere Dinge zu tun	Naši zdravotníci před sebou mají důležitější výzvy	Pracownicy służby zdrowia mają ważniejsze rzeczy na głowie.	У нашего медперсонала есть более важные дела	Наш медичний персонал має більш важливі завдання	Naši zdravstveni radnici imaju važnijih obaveza	Το ιατρικό προσωπικό μας έχει καλύτερα πράγματα να κάνει.	Sağlık personellerimiz yapacak daha önemli işleri var	לאנשי הבריאות שלנו יש דברים חשובים יותר לעשות	عمال الصحة لدينا لديهم أشياء أكثر أهمية للقيام بها	کارمندان بهداشت و درمان ما کارهای مهمتری دارند که انجام دهند	我们的医务人员还有更重要的事情要做	의료인이 필요한 더 중요한 일이 많습니다.	いや、医療チームは他にやるべき重要な使命がある
CardTitle_3404		Polls	Polls	Enquetes	Las encuestas	Les enquestes	Les sondages	Sondaggi	Enquetes	Umfragen	Studie	Badania opinii publicznej	Опросы	Опитування	Ankete	Δημοσκοπήσεις	Anketler	סקרים	استطلاعات	نظرسنجی ها	投票	여론 조사	世論調査
CardText_3404		Polls suggest that citizens trust the scientists more than us	Polls suggest that citizens trust the scientists more than us	Enquetes indicam que cidadãos confiam mais em cientistas do que nós	Las encuestas sugieren que los ciudadanos se fían más de los investigadores que de nosotros	Les enquests suggereixen que els ciutadans es fien més dels investigadors que de nosaltres	Les sondages suggèrent que les citoyens se fient plus aux scientifiques qu'à nous	I sondaggi indicano che i cittadini si fidano più degli scienziati che di noi	Peilingen suggereren dat de burgers vertrouwen de wetenschappers meer dan ons	Umfragen zeigen, dass die Bürger den Wissenschaftlern mehr vertrauen als uns	Studie tvrdí, že občané věří více ve vědce, než v nás	Badania opinii publicznej wskazują, iż obywatele bardziej ufają naukowcom niż nam.	Опросы показывают, что граждане доверяют ученым больше, чем нам.	Опитування свідчать, що громадяни довіряють дослідникам більше, ніж нам	Ankete pokazuju da javnost više vjeruje znanstvenicima nego nama	Οι δημοσκοπήσεις δείχνουν ότι οι πολίτες εμπιστεύονται τους επιστήμονες περισσότερο από εμάς.	Anketler, vatandaşların bilim insanlarına bizden daha fazla güvendiğini gösteriyor	הסקרים מראים כי אזרחים סומכים על מדענים יותר מעלינו	تشير استطلاعات الرأي إلى أن المواطنين يثقون في العلماء أكثر منا	نظرسنجی ها نشان می دهد که شهروندان بیشتر از ما به دانشمندان اعتماد دارند	民意调查显示，岛民们对科学家的信任远胜于我们	여론 조사 결과 시민이 정부보다 과학자를 더 신뢰하는 것으로 나타났습니다.	世論調査では、住民はオレたちよりも科学者を信頼していることが明らかになったそうだ
Card_OptA_3404	89	We should involve scientists in our community, even if it takes up time from the research	We should involve scientists in our community, even if it takes up time from the research	Envolva os cientistas em nossa comunidade, mesmo que isso tome tempo de suas pesquisas	Involucremos a los científicos en la comunicación, aunque eso les quite tiempo para la investigación	Involucrem als científics en la comunicació, malgrar això els tregui temps per la investigació	Impliquons les scientifiques dans la communication, même si cela empiète sur leur temps dans la recherche	Coinvolgiamo gli scienziati della nostra comunità, anche se questo sottrarrà tempo alla ricerca	Betrek wetenschappers in onze gemeenschap, ook als dat tijd kost van het onderzoek	Beziehe Wissenschaftler in unsere Gemeinschaft ein, auch wenn es Zeit von der Forschung in Anspruch nimmt	Zapojme několik vědců i u nás, i když to vezme čas výzkumu	Zaangażujmy naukowców w społeczność lokalną, nawet jeśli oderwie ich to od prac badawczych.	Вовлечь ученых в наше сообщество, даже если это будет их отвлекать от исследований.	Давайте залучимо вчених до зв'язків з громадськістю, навіть якщо це сповільнить дослідження	Uključite znanstvenike u našu zajednicu čak i na uštrb vremena koje bi proveli na istraživanju	Ας αναμείξουμε επιστήμονες μας στην κοινότητα, ακόμα και αν αυτό καθυστερεί την έρευνα.	Araştırmadan zaman alsa bile topluluğumuza bilim insanlarını dahil edelim	יש לערב מדענים בקהילה שלנו גם אם זה לוקח זמן מהמחקר	إشراك العلماء في مجتمعنا حتى لو استنفذ ذلك وقتًا من البحث	دانشمندی را درجامعه خود درگیر كنیم حتی اگراین كاراز زمان تحقیق نیز بکاهد	让科学家参与我们的团队，即便这需要占用科研的时间	연구가 늦어지더라도 정부에 과학자 몇 명을 끌어들입시다.	研究に時間がかかったとしても、科学者を私たちのコミュニティーに参加させよう
Card_OptB_3404	71	Even better, they also have to help the Crisis Unit to limit infections	Even better, they also have to help the Crisis Unit to limit infections	Melhor ainda, eles também precisam ajudar a Unidade de Crise para limitar as infecções	Aún mejor, que ayuden también a la Unidad de Crisis para limitar los contagios	Encara millor, que ajudin a la Unitat de Crisi per limitar contagis	Encore mieux, qu'ils aident l'Unité de Crise pour limiter les contagions	Meglio ancora, chiediamo loro di aiutare anche l'Unità di Crisi a limitare i contagi	Sterker nog, ze moeten ook de Crisis eenheid helpen om infecties te beperken	Noch besser ist, wenn sie auch dem Krisenteam helfen, Infektionen einzudämmen	Ještě líp, nechme je ještě pomoci Krizové jednotce, abychom zbrzdili nákazu	Lepiej niech pomogą sztabowi kryzysowemu w ograniczaniu stopnia zakażeń.	Будет еще лучше, если они также помогут Кризисному отделу ограничить заражения.	Навіть краще, хай вони також допомагають Кризовому підрозділу в зменшенні числа інфікованих	Još bolje, i oni moraju pomoći Jedinici za krizne situacije u zaustavljanju zaraze	Ακόμα καλύτερα, θα πρέπει επίσης να βοηθήσουν την Ειδική ομάδα επέμβασης να περιορίσει τις μολύνσεις.	Daha da iyi, ayrıca Kriz Birimi'nin enfeksiyonları sınırlandırmasına da yardım etmeliler	יותר מכך, עליהם לסייע ליחידת המשבר להגביל את הזיהומים	الأفضل من ذلك ، عليهم أيضًا مساعدة وحدة الأزمات على الحد من العدوى	چه بهتر،  همچنین آنها باید به واحد بحران کمک کنند تا عفونت ها را محدود سازند	最好他们还要帮助危机部门控制感染	거기에 더해, 비상 대책 부대를 도와서 감염의 확산도 막게 합시다.	いや、さらに危機管理特別部隊も助けられれば感染を抑えられるぞ
CardTitle_3405		Back to school	Back to school	Volta às Aulas	Vuelta al cole	Tornada a l'escola	Rentrée des classes	Ritorno a scuola	Terug naar school	Zurück zur Schule	Zpět do školy	Powrót do szkoły	Обратно в школу	Повернення до школи	Natrag u školske klupe	Πίσω στο σχολείο	Okula dönüş	בחזרה לבית הספר	العودة إلى المدرسة	بازگشت به مدرسه	返校	다시 학교로	学校再開
CardText_3405		The news about the re-opening of schools will be taken positively by the population...	The news about the re-opening of schools will be taken positively by the population...	As notícias sobre a reabertura de escolas serão aceitas positivamente pela sociedade...	La noticia de la reapertura de los colegios será tomada positivamente por la población...	La notícia de la reobertura de les escoltes serà presa positivament per la població...	La nouvelle de la réouverture des écoles sera bien prise par la population...	La notizia della riapertura delle scuole sarà accolta positivamente dalla popolazione...	Het nieuws over de heropening van scholen wordt positief ontvangen door de bevolking ...	Die Nachricht über die Wiedereröffnung von Schulen wird von der Bevölkerung positiv aufgenommen werden … 	Zprávu o znovuotevření škol přijala společnost dobře	Ludność pozytywnie przyjmie wieści o ponownym otwarciu szkół pozytywnie,	Новость о возобновлении работы школ будет воспринята населением положительно...	Населення позитивно сприйме новину про відкриття шкіл...	Građani će pozitivno dočekati vijest o ponovnom otvaranju škola...	Τα νέα για το άνοιγμα των σχολείων θα ληφθεί θετικά από τον πληθυσμό...	Okulların yeniden açılması insanlar tarafından olumlu karşılanacak...	החדשות על פתיחת בתי-הספר מחדש יהיו חיוביות לאוכלוסייה ...	الأخبار حول إعادة فتح المدارس ستأخذ بشكل إيجابي من قبل السكان ...	خبرمربوط به بازگشایی مدارس توسط مردم مثبت پنداشته خواهد شد ...	有关学校重新开放的消息将受到民众的热烈欢迎...	학교를 다시 연다고 발표하면 다들 좋아하겠지만...	学校が再開するニュースで住民はとても喜んでんだが…
